2024-08-26T19:54:01.281Z info: Server running on port 5000
2024-08-26T19:54:06.714Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:06.715Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:07.477Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:07.478Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:08.279Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:08.281Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:09.138Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:09.139Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:10.053Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:10.054Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:11.021Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:11.022Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:12.025Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:12.026Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:13.083Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:13.084Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:14.186Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:14.187Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:15.353Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:15.354Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:16.569Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:16.570Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:17.831Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:17.832Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-26T19:54:18.507Z info: SIGINT signal received: closing HTTP server
2024-08-26T20:30:12.948Z info: Server running on port 5000
2024-08-26T20:42:44.146Z info: Server running on port 5000
2024-08-26T20:50:03.967Z info: Server running on port 5000
2024-08-26T20:50:22.245Z info: Server running on port 5000
2024-08-26T20:50:36.218Z info: Server running on port 5000
2024-08-26T21:04:19.291Z info: Server running on port 5000
2024-08-26T21:07:20.077Z info: Server running on port 5000
2024-08-26T21:07:31.149Z info: Server running on port 5000
2024-08-26T21:12:39.582Z error: Error: Ha ocurrido un error inesperado, Status Code: 500, Request: POST /api/register, Body: {"username":"testuser","email":"test@example.com","password":"password123"}, Params: {}, Query: {}
2024-08-27T14:58:58.103Z info: Server running on port 5000
2024-08-27T14:58:58.118Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.120Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.183Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.184Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.291Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.293Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.446Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.447Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.652Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.653Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.916Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:58.917Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:59.228Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:59.229Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:59.586Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:59.587Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:59.989Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:58:59.990Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:00.443Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:00.444Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:00.957Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:00.958Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:01.519Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:01.520Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:02.130Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:02.131Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:02.797Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:02.798Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:03.499Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:03.500Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:04.252Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:04.253Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:05.061Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:05.062Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:05.917Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:05.917Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:06.827Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:06.834Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:07.781Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:07.797Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:08.794Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:08.810Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:09.854Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:09.869Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:10.961Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:10.976Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:12.117Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:12.133Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:13.331Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:13.347Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:14.591Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:14.607Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:15.900Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:15.916Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:17.254Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:17.269Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:18.665Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:18.683Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:20.131Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:20.147Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:21.642Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:21.658Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:23.202Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:23.217Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:24.805Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:24.820Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:26.457Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:26.488Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:28.170Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:28.202Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:29.934Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:29.966Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:31.740Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:31.771Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:33.596Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:33.628Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:35.510Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:35.541Z error: Redis connection error: connect ECONNREFUSED 127.0.0.1:6379
2024-08-27T14:59:36.441Z info: SIGINT signal received: closing HTTP server
